time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.000262,0.000000
0.010000,0.169616,0.036314,0.000003
0.015000,nan,0.034259,0.000003
0.020000,-0.175517,-0.004589,-0.000001
0.025000,nan,-0.004449,-0.000012
0.030000,-0.000679,-0.004476,-0.000025
0.035000,nan,-0.006143,-0.000037
0.040000,0.021181,-0.002174,-0.000049
0.045000,nan,-0.001503,-0.000060
0.050000,0.017048,-0.000015,-0.000067
0.055000,nan,0.001712,-0.000068
0.060000,-0.127872,-0.014452,-0.000060
0.065000,nan,-0.017295,-0.000044
0.070000,0.030590,-0.011968,-0.000017
0.075000,nan,-0.009809,0.000019
0.080000,0.147537,0.005804,0.000062
0.085000,nan,0.009418,0.000103
0.090000,0.147435,0.024030,0.000140
0.095000,nan,0.023242,0.000172
0.100000,0.084093,0.028223,0.000204
0.105000,nan,0.028311,0.000236
0.110000,-0.057429,0.018946,0.000270
0.115000,nan,0.019255,0.000306
0.120000,-0.058341,0.012934,0.000347
0.125000,nan,0.014740,0.000392
0.130000,0.051042,0.018332,0.000442
0.135000,nan,0.015193,0.000498
0.140000,0.103531,0.023937,0.000559
0.145000,nan,0.022010,0.000617
0.150000,0.022676,0.021418,0.000671
0.155000,nan,0.018596,0.000719
0.160000,-0.116102,0.007921,0.000759
0.165000,nan,0.007480,0.000795
0.170000,0.059576,0.012955,0.000826
0.175000,nan,0.012658,0.000854
0.180000,0.106605,0.019950,0.000879
0.185000,nan,0.016966,0.000904
0.190000,0.013799,0.014843,0.000931
0.195000,nan,0.014266,0.000959
0.200000,-0.080608,0.007019,0.000990
0.205000,nan,0.007219,0.001024
0.210000,-0.103234,-0.001490,0.001060
0.215000,nan,-0.002634,0.001098
0.220000,-0.043686,-0.006766,0.001139
0.225000,nan,-0.004668,0.001182
0.230000,0.067691,0.001550,0.001229
0.235000,nan,0.003032,0.001277
0.240000,-0.146343,-0.008339,0.001326
0.245000,nan,-0.005510,0.001373
0.250000,0.046001,-0.000995,0.001416
0.255000,nan,-0.006245,0.001454
0.260000,0.204771,0.008215,0.001489
0.265000,nan,0.010151,0.001522
0.270000,-0.024817,0.010562,0.001550
0.275000,nan,0.011225,0.001576
0.280000,-0.074956,0.005038,0.001599
0.285000,nan,0.004826,0.001620
0.290000,-0.021207,0.002851,0.001641
0.295000,nan,0.003149,0.001660
0.300000,-0.035540,0.001408,0.001677
0.305000,nan,0.003762,0.001692
0.310000,-0.126161,-0.006728,0.001706
0.314999,nan,-0.006046,0.001718
0.319999,0.147737,0.006619,0.001730
0.324999,nan,0.008157,0.001742
0.329999,0.075358,0.012011,0.001753
0.334999,nan,0.013333,0.001766
0.339999,0.051873,0.016143,0.001780
0.344999,nan,0.015811,0.001795
0.349999,0.004011,0.013707,0.001809
0.354999,nan,0.012864,0.001819
0.359999,-0.061223,0.007665,0.001828
0.364999,nan,0.006789,0.001838
0.369999,-0.048877,0.003819,0.001848
0.374999,nan,0.002277,0.001857
0.379999,0.203308,0.017773,0.001868
0.384999,nan,0.016624,0.001880
0.389999,0.020171,0.019637,0.001892
0.394998,nan,0.016386,0.001902
0.399998,0.077709,0.017969,0.001911
0.404998,nan,0.020513,0.001917
0.409998,-0.046033,0.016309,0.001920
0.414998,nan,0.018177,0.001914
0.419998,-0.009378,0.014787,0.001902
0.424998,nan,0.015782,0.001883
0.429998,-0.264832,-0.006410,0.001860
0.434998,nan,-0.007896,0.001835
0.439998,0.014618,-0.005449,0.001812
0.444998,nan,-0.005204,0.001792
0.449998,-0.146784,-0.016324,0.001776
0.454998,nan,-0.018695,0.001762
0.459998,0.034676,-0.015298,0.001746
0.464998,nan,-0.016341,0.001725
0.469997,0.222467,0.004897,0.001700
0.474997,nan,0.007763,0.001674
0.479997,-0.310633,-0.016533,0.001653
0.484997,nan,-0.015570,0.001639
0.489997,0.075691,-0.007600,0.001632
0.494997,nan,-0.004421,0.001634
0.499997,-0.150725,-0.015394,0.001644
0.504997,nan,-0.016383,0.001662
0.509997,0.178949,-0.002564,0.001686
0.514997,nan,-0.004950,0.001713
0.519997,-0.005791,-0.006570,0.001742
0.524997,nan,-0.007832,0.001772
0.529997,-0.007129,-0.007143,0.001799
0.534997,nan,-0.005841,0.001821
0.539997,0.063319,0.000989,0.001836
0.544997,nan,0.000125,0.001845
0.549996,0.142086,0.010659,0.001853
0.554996,nan,0.008504,0.001863
0.559996,-0.094672,0.000256,0.001868
0.564996,nan,0.000222,0.001864
0.569996,0.163025,0.014027,0.001852
0.574996,nan,0.016849,0.001831
0.579996,0.002474,0.015266,0.001808
0.584996,nan,0.013996,0.001786
0.589996,0.021883,0.013761,0.001766
0.594996,nan,0.011642,0.001750
0.599996,0.100700,0.019646,0.001739
0.604996,nan,0.019165,0.001731
0.609996,0.034483,0.021480,0.001723
0.614996,nan,0.021428,0.001714
0.619996,-0.165932,0.004488,0.001703
0.624996,nan,0.002321,0.001688
0.629995,-0.135418,-0.009180,0.001674
0.634995,nan,-0.011169,0.001664
0.639995,0.035845,-0.008890,0.001658
0.644995,nan,-0.008789,0.001657
0.649995,-0.029136,-0.013811,0.001662
0.654995,nan,-0.014192,0.001672
0.659995,-0.011694,-0.011983,0.001684
0.664995,nan,-0.009969,0.001696
0.669995,0.073867,-0.003831,0.001711
0.674995,nan,-0.006533,0.001733
0.679995,-0.129412,-0.015054,0.001762
0.684995,nan,-0.014918,0.001794
0.689995,0.102852,-0.006669,0.001831
0.694995,nan,-0.006098,0.001869
0.699995,0.271070,0.014081,0.001903
0.704994,nan,0.016518,0.001935
0.709994,0.051645,0.018618,0.001966
0.714994,nan,0.019076,0.001991
0.719994,-0.131414,0.008151,0.002008
0.724994,nan,0.009698,0.002019
0.729994,-0.041447,0.001959,0.002027
0.734994,nan,0.005632,0.002031
0.739994,0.050376,0.008573,0.002033
0.744994,nan,0.007702,0.002035
0.749994,-0.006796,0.007455,0.002035
0.754994,nan,0.009947,0.002040
0.759994,-0.001673,0.008301,0.002051
0.764994,nan,0.008007,0.002062
0.769994,0.040453,0.012445,0.002072
0.774994,nan,0.013342,0.002079
0.779994,-0.012865,0.012058,0.002089
0.784993,nan,0.010169,0.002103
0.789993,-0.041829,0.004563,0.002123
0.794993,nan,0.005440,0.002150
0.799993,-0.128357,-0.004444,0.002180
0.804993,nan,-0.002124,0.002207
0.809993,0.001544,-0.000432,0.002230
0.814993,nan,-0.002221,0.002248
0.819993,-0.166738,-0.016903,0.002262
0.824993,nan,-0.013105,0.002270
0.829993,-0.145043,-0.024858,0.002270
0.834993,nan,-0.027795,0.002267
0.839993,-0.041402,-0.028160,0.002262
0.844993,nan,-0.028578,0.002255
0.849993,-0.069131,-0.035109,0.002250
0.854993,nan,-0.034695,0.002243
0.859993,0.024578,-0.029932,0.002233
0.864992,nan,-0.031495,0.002221
0.869992,-0.036924,-0.032153,0.002211
0.874992,nan,-0.031498,0.002202
0.879992,-0.078094,-0.036216,0.002193
0.884992,nan,-0.037404,0.002181
0.889992,-0.074508,-0.039612,0.002162
0.894992,nan,-0.041174,0.002136
0.899992,-0.070308,-0.044324,0.002104
0.904992,nan,-0.042207,0.002066
0.909992,-0.002543,-0.041012,0.002021
0.914992,nan,-0.042003,0.001967
0.919992,0.147592,-0.027767,0.001905
0.924992,nan,-0.028747,0.001837
0.929992,0.224028,-0.011469,0.001761
0.934992,nan,-0.011278,0.001681
0.939991,-0.078446,-0.017578,0.001601
0.944991,nan,-0.018802,0.001523
0.949991,0.045679,-0.013185,0.001450
0.954991,nan,-0.010387,0.001388
0.959991,0.025685,-0.006953,0.001337
0.964991,nan,-0.007563,0.001298
0.969991,-0.014729,-0.008185,0.001267
0.974991,nan,-0.009756,0.001240
0.979991,0.022870,-0.006229,0.001220
0.984991,nan,-0.004110,0.001204
0.989991,0.007890,-0.003409,0.001189
0.994991,nan,-0.002990,0.001177
0.999991,-0.059308,-0.006463,0.001167
1.004991,nan,-0.005851,0.001157
1.009991,-0.051035,-0.010991,0.001147
1.014991,nan,-0.009787,0.001138
1.019992,0.091482,-0.005000,0.001128
1.024992,nan,-0.004976,0.001119
1.029992,-0.066402,-0.010161,0.001111
1.034992,nan,-0.009852,0.001103
1.039993,0.138086,0.002389,0.001098
1.044993,nan,0.001021,0.001089
1.049993,0.059064,0.006220,0.001078
1.054993,nan,0.008262,0.001066
1.059994,0.170409,0.020334,0.001049
1.064994,nan,0.021951,0.001029
1.069994,-0.001476,0.020672,0.001009
1.074994,nan,0.022190,0.000991
1.079994,0.066018,0.026938,0.000973
1.084995,nan,0.029672,0.000952
1.089995,-0.047687,0.022630,0.000931
1.094995,nan,0.019382,0.000908
1.099995,0.068947,0.025626,0.000880
1.104996,nan,0.027036,0.000848
1.109996,-0.031121,0.022279,0.000811
1.114996,nan,0.021405,0.000772
1.119996,0.000304,0.019846,0.000729
1.124997,nan,0.021468,0.000683
1.129997,0.050172,0.024469,0.000635
1.134997,nan,0.024728,0.000586
1.139997,0.171673,0.035232,0.000538
1.144997,nan,0.039654,0.000489
1.149998,0.094909,0.044842,0.000440
1.154998,nan,0.047057,0.000390
1.159998,-0.018075,0.043955,0.000343
1.164998,nan,0.043753,0.000302
1.169999,-0.147936,0.028139,0.000266
1.174999,nan,0.028700,0.000238
1.179999,-0.027983,0.024948,0.000214
1.184999,nan,0.024618,0.000191
1.190000,0.034971,0.026162,0.000173
1.195000,nan,0.025983,0.000157
1.200000,-0.153951,0.013104,0.000142
1.205000,nan,0.011606,0.000128
1.210001,-0.116209,0.001875,0.000120
1.215001,nan,-0.000244,0.000119
1.220001,0.091498,0.007674,0.000123
1.225001,nan,0.008729,0.000126
1.230001,-0.122654,-0.001710,0.000130
1.235002,nan,-0.002159,0.000134
1.240002,-0.151409,-0.013212,0.000136
1.245002,nan,-0.014545,0.000136
1.250002,-0.129156,-0.025458,0.000133
1.255003,nan,-0.024902,0.000128
1.260003,0.146558,-0.012275,0.000119
1.265003,nan,-0.010896,0.000103
1.270003,0.039494,-0.003796,0.000082
1.275004,nan,-0.003758,0.000058
1.280004,0.102607,0.003116,0.000031
1.285004,nan,0.000155,0.000003
1.290004,-0.152688,-0.010978,-0.000025
1.295004,nan,-0.009906,-0.000056
1.300005,-0.072552,-0.015456,-0.000088
1.305005,nan,-0.016811,-0.000120
1.310005,-0.041268,-0.016180,-0.000148
1.315005,nan,-0.018075,-0.000174
1.320006,-0.035802,-0.018254,-0.000201
1.325006,nan,-0.020641,-0.000230
1.330006,0.108433,-0.010770,-0.000253
1.335006,nan,-0.009862,-0.000272
1.340007,-0.037429,-0.012415,-0.000294
1.345007,nan,-0.014410,-0.000319
1.350007,0.043621,-0.007158,-0.000341
1.355007,nan,-0.004949,-0.000362
1.360008,0.100334,0.003049,-0.000386
1.365008,nan,0.002099,-0.000409
1.370008,0.029745,0.005590,-0.000427
1.375008,nan,0.007698,-0.000443
1.380008,0.125252,0.016447,-0.000460
1.385009,nan,0.019116,-0.000477
1.390009,-0.039847,0.014918,-0.000492
1.395009,nan,0.014746,-0.000502
1.400009,0.095835,0.019785,-0.000507
1.405010,nan,0.017883,-0.000506
1.410010,0.014782,0.016553,-0.000504
1.415010,nan,0.015405,-0.000502
1.420010,-0.071246,0.008678,-0.000498
1.425011,nan,0.011271,-0.000494
1.430011,-0.084988,0.004377,-0.000491
1.435011,nan,0.003934,-0.000491
1.440011,-0.112020,-0.004322,-0.000486
1.445011,nan,-0.003285,-0.000477
1.450012,-0.003189,-0.004099,-0.000465
1.455012,nan,-0.001010,-0.000455
1.460012,-0.094040,-0.008952,-0.000444
1.465012,nan,-0.008838,-0.000430
1.470013,-0.065113,-0.013077,-0.000412
1.475013,nan,-0.016232,-0.000387
1.480013,0.027385,-0.013255,-0.000357
1.485013,nan,-0.014251,-0.000323
1.490014,0.233960,0.006787,-0.000282
1.495014,nan,0.007774,-0.000236
1.500014,0.039347,0.009078,-0.000187
1.505014,nan,0.010793,-0.000138
1.510015,0.131423,0.021198,-0.000088
1.515015,nan,0.023036,-0.000037
1.520015,0.004385,0.023447,0.000012
1.525015,nan,0.023908,0.000064
1.530015,0.033754,0.023256,0.000119
1.535016,nan,0.026783,0.000180
1.540016,-0.131274,0.013922,0.000240
1.545016,nan,0.015107,0.000300
1.550016,-0.081345,0.006441,0.000363
1.555017,nan,0.006568,0.000428
1.560017,0.012482,0.006293,0.000490
1.565017,nan,0.007930,0.000549
1.570017,-0.088072,0.003476,0.000604
1.575018,nan,0.005316,0.000653
1.580018,0.195423,0.022412,0.000695
1.585018,nan,0.023003,0.000733
1.590018,-0.186667,0.008900,0.000764
1.595019,nan,0.009950,0.000792
1.600019,-0.064596,0.004229,0.000821
1.605019,nan,0.002795,0.000854
1.610019,-0.063554,-0.002725,0.000889
1.615019,nan,-0.001586,0.000927
1.620020,-0.022789,-0.003625,0.000965
1.625020,nan,-0.004004,0.001002
1.630020,-0.010515,-0.006133,0.001037
1.635020,nan,-0.007367,0.001077
1.640021,0.007420,-0.005102,0.001119
1.645021,nan,-0.005562,0.001164
1.650021,-0.121318,-0.016052,0.001212
1.655021,nan,-0.017650,0.001264
1.660022,0.024134,-0.016261,0.001325
1.665022,nan,-0.016366,0.001391
1.670022,0.126255,-0.004271,0.001456
1.675022,nan,-0.008029,0.001521
1.680022,0.084906,0.000855,0.001582
1.685023,nan,0.001433,0.001637
1.690023,-0.079161,-0.004278,0.001684
1.695023,nan,-0.002869,0.001727
1.700023,0.033465,-0.001507,0.001773
1.705024,nan,0.002952,0.001824
1.710024,-0.116763,-0.005411,0.001879
1.715024,nan,-0.003001,0.001937
1.720024,0.041522,-0.000744,0.001998
1.725025,nan,-0.001655,0.002057
1.730025,-0.008717,-0.001740,0.002113
1.735025,nan,-0.003559,0.002164
1.740025,-0.134667,-0.013283,0.002214
1.745026,nan,-0.010480,0.002258
1.750026,-0.174710,-0.022638,0.002292
1.755026,nan,-0.021204,0.002318
1.760026,0.079702,-0.013915,0.002341
1.765026,nan,-0.015944,0.002362
1.770027,-0.100344,-0.022142,0.002383
1.775027,nan,-0.023758,0.002408
1.780027,-0.052777,-0.027323,0.002435
1.785027,nan,-0.028628,0.002462
1.790028,0.151671,-0.015858,0.002486
1.795028,nan,-0.015185,0.002506
1.800028,-0.057183,-0.019632,0.002521
1.805028,nan,-0.017281,0.002532
1.810029,-0.077423,-0.022763,0.002536
1.815029,nan,-0.024043,0.002536
1.820029,0.025687,-0.019704,0.002536
1.825029,nan,-0.022085,0.002536
1.830029,-0.044743,-0.024916,0.002536
1.835030,nan,-0.022299,0.002532
1.840030,0.147468,-0.007104,0.002522
1.845030,nan,-0.008043,0.002509
1.850030,0.056235,-0.003146,0.002494
1.855031,nan,-0.002205,0.002481
1.860031,-0.037670,-0.004328,0.002467
1.865031,nan,-0.005204,0.002455
1.870031,-0.035685,-0.006336,0.002444
1.875032,nan,-0.007483,0.002433
1.880032,-0.131108,-0.015931,0.002421
1.885032,nan,-0.014201,0.002409
1.890032,-0.091173,-0.022184,0.002404
1.895033,nan,-0.020908,0.002404
1.900033,0.122434,-0.009033,0.002407
1.905033,nan,-0.009003,0.002413
1.910033,-0.135723,-0.018205,0.002424
1.915033,nan,-0.017419,0.002438
1.920034,-0.045983,-0.019849,0.002453
1.925034,nan,-0.020398,0.002465
1.930034,-0.000374,-0.019856,0.002476
1.935034,nan,-0.023489,0.002486
1.940035,-0.006382,-0.024695,0.002495
1.945035,nan,-0.022937,0.002506
1.950035,0.185930,-0.006994,0.002521
1.955035,nan,-0.005215,0.002542
1.960036,0.183757,0.010750,0.002570
1.965036,nan,0.014116,0.002602
1.970036,-0.046876,0.008470,0.002637
1.975036,nan,0.004742,0.002672
1.980036,-0.102585,-0.002562,0.002711
1.985037,nan,-0.004851,0.002753
1.990037,0.073634,0.004071,0.002795
1.995037,nan,0.002269,0.002834
2.000037,-0.142750,-0.008107,0.002869
2.005037,nan,-0.007632,0.002897
2.010037,-0.053682,-0.011965,0.002923
2.015036,nan,-0.011624,0.002948
2.020036,-0.214114,-0.028953,0.002975
2.025036,nan,-0.027787,0.003002
2.030035,-0.071604,-0.032779,0.003031
2.035035,nan,-0.031032,0.003059
2.040035,-0.063907,-0.032424,0.003086
2.045034,nan,-0.030329,0.003113
2.050034,-0.115697,-0.039529,0.003139
2.055033,nan,-0.039196,0.003164
2.060033,-0.154421,-0.049162,0.003191
2.065033,nan,-0.048298,0.003223
2.070032,0.031455,-0.043551,0.003257
2.075032,nan,-0.046293,0.003293
2.080032,0.011264,-0.043906,0.003331
2.085031,nan,-0.041084,0.003373
2.090031,-0.337615,-0.064551,0.003421
2.095031,nan,-0.066228,0.003472
2.100030,0.164567,-0.050120,0.003529
2.105030,nan,-0.050337,0.003594
2.110029,-0.058881,-0.050314,0.003671
2.115029,nan,-0.053381,0.003763
